Date,0P0000I2GD.F,0P0000UF8Z,0P0000VNQE,0P00011WKE,0P00018E88,0P00018LTL,0P0001A9KH,0P0001BT7G,0P0001E1Y3,0P0001IQQZ.L,0P0001KGO9,0P0001LTZG,0P0001N58O,0P0001Q6RL,0P0001T5CY,FRNRX,JSFRX,PTHYX,PWLEX,VIPSX
2023-12-01 00:00:00+00:00,262.839996337891,10.5291004180908,220.635498046875,139.547500610352,170.460006713867,0.277700006961822,126.411567687988,123.75,175.184997558594,10627,15.5069999694824,10.960000038147,108.688598632813,10.382399559021,,28.274263381958,11.0775060653687,11.1820936203003,6.82570457458496,11.2497901916504
2024-01-01 00:00:00+00:00,266.809997558594,10.4715995788574,229.337799072266,141.08610534668,174.119995117188,0.266299992799759,119.963897705078,123.540000915527,179.283004760742,106.779998779297,15.3809995651245,11.4399995803833,112.260902404785,10.4111003875732,,27.7800006866455,11.5500001907349,11.231053352356,7.45506429672241,11.4952354431152
2024-02-01 00:00:00+00:00,271.809997558594,10.3927001953125,237.723602294922,140.616897583008,174.820007324219,0.270399987697601,137.625,123.870002746582,186.526000976563,106.870002746582,15.6700000762939,13.0200004577637,114.661003112793,10.3280000686646,,28.2900009155273,11.8199996948242,11.2999563217163,7.47430324554443,11.3681621551514
2024-03-01 00:00:00+00:00,284.559997558594,10.4293003082275,245.852600097656,146.703994750977,177.330001831055,0.278600007295609,140.534774780273,124.949996948242,194.878005981445,107.610000610352,16.2269992828369,13.3800001144409,119.44930267334,10.342399597168,,31.1200008392334,12,11.3984136581421,7.66669178009033,11.4365863800049
2024-04-01 00:00:00+00:00,283.130004882812,10.2782001495361,236.54150390625,152.091293334961,176.429992675781,0.2567999958992,128.862564086914,123.660003662109,188.074996948242,107.669998168945,16.2490005493164,12.6199998855591,118.792701721191,10.1965999603271,,30.9699993133545,11.9799995422363,11.2296962738037,7.49354219436646,11.264331817627
2024-05-01 00:00:00+00:00,292.209991455078,10.4267997741699,238.117095947266,154.293304443359,178.240005493164,0.270500004291534,122.133857727051,125.629997253418,193.417007446289,108.360000610352,17.0949993133545,13.3400001525879,120.624000549316,10.3077001571655,,31.7399997711182,12.1499996185303,11.2890605926514,7.48392295837402,11.4698495864868
2024-06-01 00:00:00+00:00,286.100006103516,10.538800239563,237.349395751953,150.858505249023,178.600006103516,0.274100005626678,120.633476257324,126.690002441406,204.938995361328,108.910003662109,16.4599990844727,13.8000001907349,121.082099914551,10.3964004516602,,30.6200008392334,12.3500003814697,11.5887289047241,7.41658687591553,11.4111289978027
2024-07-01 00:00:00+00:00,293.170013427734,10.7405004501343,251.608200073242,154.065307617188,181.039993286133,0.287600010633469,124.00074005127,128.529998779297,205.210006713867,109.919998168945,17.0739994049072,13.3000001907349,120.094802856445,10.597900390625,148.473999023438,31.4699993133545,12.3100004196167,11.7071180343628,7.95845365524292,11.7615585327148
2024-08-01 00:00:00+00:00,297.720001220703,10.7789001464844,251.620803833008,156.532806396484,183.080001831055,0.300599992275238,127.026481628418,131.839996337891,208.949005126953,110.639999389648,17.5949993133545,13.7700004577637,113.625503540039,10.6661996841431,143.692993164063,31.0300006866455,12.5500001907349,11.7670001983643,8.1148853302002,11.8606452941895
2024-09-01 00:00:00+00:00,297.660003662109,10.9933996200562,251.066604614258,151.687805175781,185.75,0.312900006771088,130.568252563477,133.300003051758,213.333999633789,111.370002746582,17.9050006866455,13.7600002288818,114.605400085449,10.8099002838135,143.953994750977,30.7800006866455,12.4799995422363,11.8299999237061,7.9682297706604,11.9200963973999
2024-10-01 00:00:00+00:00,288.920013427734,10.8271999359131,233.260192871094,156.487701416016,186.080001831055,0.305400013923645,129.169494628906,131.910003662109,212.856002807617,111.470001220703,17.1149997711182,13.5600004196167,111.130500793457,10.7098999023438,138.649002075195,30.4099998474121,12.4200000762939,11.8299999237061,8.05000019073486,11.8100004196167
2024-11-01 00:00:00+00:00,296.359985351563,10.93630027771,241.241302490234,155.296401977539,185.850006103516,0.307300001382828,148.578414916992,132.259994506836,224.912002563477,112.150001525879,16.7849998474121,14.4499998092651,113.651702880859,10.8050003051758,140.436996459961,31.7700004577637,12.5699996948242,11.8299999237061,8.25,11.8599996566772
